"Date","Price","Open","High","Low","Change %"
"Oct 22, 2009","49.46","49.46","49.46","49.46","0.77"
"Oct 21, 2009","49.08","49.08","49.08","49.08","-0.61"
"Oct 20, 2009","49.38","49.38","49.38","49.38","-0.32"
"Oct 19, 2009","49.54","49.54","49.54","49.54","0.92"
"Oct 16, 2009","49.09","49.09","49.09","49.09","-0.45"
"Oct 15, 2009","49.31","49.31","49.31","49.31","0.22"
"Oct 14, 2009","49.20","49.20","49.20","49.20","1.13"
"Oct 13, 2009","48.65","48.65","48.65","48.65","-0.16"
"Oct 12, 2009","48.73","48.73","48.73","48.73","0.43"
"Oct 09, 2009","48.52","48.52","48.52","48.52","0.10"
"Oct 08, 2009","48.47","48.47","48.47","48.47","0.46"
"Oct 07, 2009","48.25","48.25","48.25","48.25","0.23"
"Oct 06, 2009","48.14","48.14","48.14","48.14","0.92"
"Oct 05, 2009","47.70","47.70","47.70","47.70","0.93"
"Oct 02, 2009","47.26","47.26","47.26","47.26","-0.38"
"Oct 01, 2009","47.44","47.44","47.44","47.44","-1.41"
"Sep 30, 2009","48.12","48.12","48.12","48.12","-0.25"
"Sep 29, 2009","48.24","48.24","48.24","48.24","-0.17"
"Sep 28, 2009","48.32","48.32","48.32","48.32","0.42"
"Sep 25, 2009","48.12","48.12","48.12","48.12","-0.21"
"Sep 24, 2009","48.22","48.22","48.22","48.22","-0.64"
"Sep 23, 2009","48.53","48.53","48.53","48.53","-0.57"
"Sep 22, 2009","48.81","48.81","48.81","48.81","0.54"
"Sep 21, 2009","48.55","48.55","48.55","48.55","-0.37"
"Sep 18, 2009","48.73","48.73","48.73","48.73","0.04"
"Sep 17, 2009","48.71","48.71","48.71","48.71","-0.08"
"Sep 16, 2009","48.75","48.75","48.75","48.75","0.95"
"Sep 15, 2009","48.29","48.29","48.29","48.29","0.17"
"Sep 14, 2009","48.21","48.21","48.21","48.21","0.29"
"Sep 11, 2009","48.07","48.07","48.07","48.07","0.12"
"Sep 10, 2009","48.01","48.01","48.01","48.01","0.84"
"Sep 09, 2009","47.61","47.61","47.61","47.61","0.53"
"Sep 08, 2009","47.36","47.36","47.36","47.36","0.57"
"Sep 04, 2009","47.09","47.09","47.09","47.09","0.58"
"Sep 03, 2009","46.82","46.82","46.82","46.82","0.45"
"Sep 02, 2009","46.61","46.61","46.61","46.61","-0.04"
"Sep 01, 2009","46.63","46.63","46.63","46.63","-1.37"
"Aug 31, 2009","47.28","47.28","47.28","47.28","-0.36"
"Aug 28, 2009","47.45","47.45","47.45","47.45","-0.13"
"Aug 27, 2009","47.51","47.51","47.51","47.51","0.19"
"Aug 26, 2009","47.42","47.42","47.42","47.42","-0.11"
"Aug 25, 2009","47.47","47.47","47.47","47.47","0.30"
"Aug 24, 2009","47.33","47.33","47.33","47.33","0.23"
"Aug 21, 2009","47.22","47.22","47.22","47.22","0.98"
"Aug 20, 2009","46.76","46.76","46.76","46.76","0.69"
"Aug 19, 2009","46.44","46.44","46.44","46.44","0.58"
"Aug 18, 2009","46.17","46.17","46.17","46.17","0.61"
"Aug 17, 2009","45.89","45.89","45.89","45.89","-1.38"
"Aug 14, 2009","46.53","46.53","46.53","46.53","-0.51"
"Aug 13, 2009","46.77","46.77","46.77","46.77","0.75"
"Aug 12, 2009","46.42","46.42","46.42","46.42","0.67"
"Aug 11, 2009","46.11","46.11","46.11","46.11","-0.67"
"Aug 10, 2009","46.42","46.42","46.42","46.42","-0.11"
"Aug 07, 2009","46.47","46.47","46.47","46.47","0.54"
"Aug 06, 2009","46.22","46.22","46.22","46.22","-0.32"
"Aug 05, 2009","46.37","46.37","46.37","46.37","-0.37"
"Aug 04, 2009","46.54","46.54","46.54","46.54","0.15"
"Aug 03, 2009","46.47","46.47","46.47","46.47","0.96"
"Jul 31, 2009","46.03","46.03","46.03","46.03","0.61"
"Jul 30, 2009","45.75","45.75","45.75","45.75","0.97"
"Jul 29, 2009","45.31","45.31","45.31","45.31","-0.18"
"Jul 28, 2009","45.39","45.39","45.39","45.39","-0.29"
"Jul 27, 2009","45.52","45.52","45.52","45.52","0.15"
"Jul 24, 2009","45.45","45.45","45.45","45.45","0.31"
"Jul 23, 2009","45.31","45.31","45.31","45.31","1.30"
"Jul 22, 2009","44.73","44.73","44.73","44.73","-0.22"
"Jul 21, 2009","44.83","44.83","44.83","44.83","0.63"
"Jul 20, 2009","44.55","44.55","44.55","44.55","0.97"
"Jul 17, 2009","44.12","44.12","44.12","44.12","-0.11"
"Jul 16, 2009","44.17","44.17","44.17","44.17","0.78"
"Jul 15, 2009","43.83","43.83","43.83","43.83","1.65"
"Jul 14, 2009","43.12","43.12","43.12","43.12","0.07"
"Jul 13, 2009","43.09","43.09","43.09","43.09","1.56"
"Jul 10, 2009","42.43","42.43","42.43","42.43","-0.21"
"Jul 09, 2009","42.52","42.52","42.52","42.52","0.12"
"Jul 08, 2009","42.47","42.47","42.47","42.47","0.05"
"Jul 07, 2009","42.45","42.45","42.45","42.45","-1.07"
"Jul 06, 2009","42.91","42.91","42.91","42.91","0.02"
"Jul 02, 2009","42.90","42.90","42.90","42.90","-1.85"
"Jul 01, 2009","43.71","43.71","43.71","43.71","0.39"
"Jun 30, 2009","43.54","43.54","43.54","43.54","-0.62"
"Jun 29, 2009","43.81","43.81","43.81","43.81","0.71"
"Jun 26, 2009","43.50","43.50","43.50","43.50","-0.02"
"Jun 25, 2009","43.51","43.51","43.51","43.51","0.53"
"Jun 24, 2009","43.28","43.28","43.28","43.28","0.28"
"Jun 23, 2009","43.16","43.16","43.16","43.16","0.61"
"Jun 22, 2009","42.90","42.90","42.90","42.90","-1.74"
"Jun 19, 2009","43.66","43.66","43.66","43.66","0.28"
